有價證券代號及名稱,國際證券辨識號碼(ISIN Code),發行日,到期日,利率值,市場別,產業別,CFICode,備註
轉換公司債
11011　台泥一永,TW0001101103,2024/12/10,2029/12/10,0.000000,上櫃,,DCZUDR,
12561　鮮活果汁一KY,TW0001256105,2025/10/08,2028/10/08,0.000000,上櫃,,DCZUDR,
13166　上曜六,TW0001316602,2024/12/27,2027/12/27,0.000000,上櫃,,DCZSDR,
13382　廣華二KY,TW0001338200,2023/12/01,2028/12/01,0.000000,上櫃,,DCZUDR,
14363　華友聯三,TW0001436301,2024/08/27,2027/08/27,0.000000,上櫃,,DCZUDR,
14364　華友聯四,TW0001436400,2025/03/18,2028/03/18,0.000000,上櫃,,DCZUDR,
14381　三地開發一,TW0001438109,2024/12/19,2029/12/19,0.000000,上櫃,,DCZSDR,
14664　聚隆四,TW0001466407,2025/06/20,2028/06/20,0.000000,上櫃,,DCZSGR,
14722　三洋實業二,TW0001472207,2025/05/29,2028/05/29,0.000000,上櫃,,DCZSDR,
14723　三洋實業三,TW0001472306,2025/06/17,2028/06/17,0.000000,上櫃,,DCZUDR,
14743　弘裕三,TW0001474302,2025/03/31,2028/03/31,0.000000,上櫃,,DCZUGR,
15142　亞力二,TW0001514206,2025/01/13,2030/01/13,0.000000,上櫃,,DCZUDR,
15261　日馳一,TW0001526101,2023/09/19,2026/09/19,0.000000,上櫃,,DCZUGR,
15364　和大四,TW0001536407,2024/08/12,2027/08/12,0.000000,上櫃,,DCZUDR,
15601　中砂一,TW0001560100,2024/06/24,2029/06/24,0.000000,上櫃,,DCZUDR,
15864　和勤四,TW0001586402,2023/08/30,2026/08/30,0.000000,上櫃,,DCZSGR,
15865　和勤五,TW0001586501,2023/08/31,2026/08/31,0.000000,上櫃,,DCZUGR,
15894　永冠四KY,TW0001589406,2023/02/20,2028/02/20,0.000000,上櫃,,DCZUDR,
15952　川寶二,TW0001595205,2024/09/02,2029/09/02,0.000000,上櫃,,DCZUDR,
15984　岱宇四,TW0001598407,2025/03/03,2028/03/03,0.000000,上櫃,,DCZUDR,
16095　大亞五,TW0001609501,2024/09/30,2029/09/30,0.000000,上櫃,,DCZUDR,
17813　合世三,TW0001781300,2024/09/24,2027/09/24,0.000000,上櫃,,DCZSGR,
17863　科妍三,TW0001786309,2025/08/01,2028/08/01,0.000000,上櫃,,DCZUDR,
19094　榮成四,TW0001909406,2021/12/20,2026/12/20,0.000000,上櫃,,DCZUDR,
20344　允強四,TW0002034402,2024/10/02,2029/10/02,0.000000,上櫃,,DCZUDR,
20662　世德二,TW0002066206,2023/07/31,2026/07/31,0.000000,上櫃,,DCZUGR,
21043　國際中橡三,TW0002104304,2023/10/13,2028/10/13,0.000000,上櫃,,DCZUDR,
22013　裕隆三,TW0002201308,2023/05/25,2028/05/25,0.000000,上櫃,,DCZUDR,
22283　劍麟三,TW0002228301,2024/08/29,2027/08/29,0.000000,上櫃,,DCZUGR,
22331　宇隆一,TW0002233103,2026/01/23,2029/01/23,0.000000,上櫃,,DCZUGR,
22363　百達三KY,TW0002236304,2026/02/10,2031/02/10,0.000000,上櫃,,DCZUDR,
22471　汎德永業一,TW0002247103,2025/06/26,2028/06/26,0.000000,上櫃,,DCZUGR,
22472　汎德永業二,TW0002247202,2025/06/30,2028/06/30,0.000000,上櫃,,DCZUGR,
23291　華泰一,TW0002329109,2026/03/18,2029/03/18,0.000000,上櫃,,DCZUGR,
23372　旺宏二,TW0002337201,2025/03/24,2028/03/24,0.000000,上櫃,,DCZUGR,
23383　光罩三,TW0002338308,2021/08/03,2026/08/03,0.000000,上櫃,,DCZUDR,
23511　順德一,TW0002351103,2025/06/17,2028/06/17,0.000000,上櫃,,DCZUGR,
23683　金像電三,TW0002368305,2025/11/24,2030/11/24,0.000000,上櫃,,DCZUDR,
23742　佳能二,TW0002374204,2026/02/02,2031/02/02,0.000000,上櫃,,DCZUDR,
24023　毅嘉三,TW0002402302,2025/11/19,2028/11/19,0.000000,上櫃,,DCZUDR,
24271　三商電一,TW0002427101,2023/12/13,2028/12/13,0.000000,上櫃,,DCZUDR,
24361　偉詮電一,TW0002436102,2023/09/11,2026/09/11,0.000000,上櫃,,DCZUDR,
24394　美律四,TW0002439403,2024/07/10,2027/07/10,0.000000,上櫃,,DCZUGR,
24395　美律五,TW0002439502,2024/07/22,2027/07/22,0.000000,上櫃,,DCZUGR,
24423　新美齊三,TW0002442308,2024/11/29,2027/11/29,0.000000,上櫃,,DCZUDR,
24424　新美齊四,TW0002442407,2024/12/25,2027/12/25,0.000000,上櫃,,DCZUDR,
24552　全新二,TW0002455201,2026/01/23,2029/01/23,0.000000,上櫃,,DCZUGR,
24553　全新三,TW0002455300,2026/01/27,2029/01/27,0.000000,上櫃,,DCZUGR,
24624　良得電四,TW0002462405,2023/08/11,2026/08/11,0.000000,上櫃,,DCZUDR,
24642　盟立二,TW0002464203,2024/09/16,2027/09/16,0.000000,上櫃,,DCZUDR,
24672　志聖二,TW0002467206,2026/01/09,2029/01/09,0.000000,上櫃,,DCZUDR,
24673　志聖三,TW0002467305,2026/01/22,2029/01/22,0.000000,上櫃,,DCZUDR,
24762　鉅祥二,TW0002476207,2024/01/26,2027/01/26,0.000000,上櫃,,DCZUGR,
24866　一詮六,TW0002486602,2024/07/01,2027/07/01,0.000000,上櫃,,DCZUDR,
25283　皇普三,TW0002528304,2024/12/31,2029/12/31,0.000000,上櫃,,DCZSDR,
25284　皇普四,TW0002528403,2025/01/17,2030/01/17,0.000000,上櫃,,DCZUDR,
25303　華建三,TW0002530300,2025/06/23,2028/06/23,0.000000,上櫃,,DCZUDR,
25304　華建四,TW0002530409,2025/06/30,2028/06/30,0.000000,上櫃,,DCZUDR,
25483　華固三,TW0002548302,2024/10/02,2029/10/02,0.000000,上櫃,,DCZUDR,
25484　華固四,TW0002548401,2024/10/18,2029/10/18,0.000000,上櫃,,DCZUDR,
26417　正德七,TW0002641701,2024/07/26,2027/07/26,0.000000,上櫃,,DCZUGR,
26418　正德八,TW0002641800,2025/08/06,2030/08/06,0.000000,上櫃,,DCZUDR,
27271　王品一,TW0002727104,2023/03/29,2028/03/29,0.000000,上櫃,,DCZUDR,
27323　六角三,TW0002732302,2024/01/26,2027/01/26,0.000000,上櫃,,DCZUDR,
27324　六角四,TW0002732401,2025/12/08,2028/12/08,0.000000,上櫃,,DCZUDR,
27431　山富一,TW0002743101,2025/08/28,2028/08/28,0.000000,上櫃,,DCZUDR,
27451　五福一,TW0002745106,2026/01/05,2029/01/05,0.000000,上櫃,,DCZUDR,
27531　八方雲集一,TW0002753100,2025/10/09,2028/10/09,0.000000,上櫃,,DCZUGR,
27532　八方雲集二,TW0002753209,2025/10/20,2028/10/20,0.000000,上櫃,,DCZUGR,
27551　揚秦一,TW0002755105,2025/01/15,2028/01/15,0.000000,上櫃,,DCZUGR,
27561　聯發國際一,TW0002756103,2024/05/30,2027/05/30,0.000000,上櫃,,DCZUDR,
29061　高林一,TW0002906104,2023/09/20,2026/09/20,0.000000,上櫃,,DCZUDR,
30112　今皓二,TW0003011201,2026/03/26,2029/03/26,0.000000,上櫃,,DCZSDR,
30134　晟銘電四,TW0003013405,2024/10/18,2027/10/18,0.000000,上櫃,,DCZSGR,
30165　嘉晶五,TW0003016507,2024/07/26,2027/07/26,0.000000,上櫃,,DCZUFR,
30321　偉訓一,TW0003032108,2025/11/13,2028/11/13,0.000000,上櫃,,DCZUDR,
30322　偉訓二,TW0003032207,2025/11/25,2030/11/25,0.000000,上櫃,,DCZUDR,
30336　威健六,TW0003033601,2022/06/01,2027/06/01,0.000000,上櫃,,DCZUDR,
30337　威健七,TW0003033700,2024/09/11,2029/09/11,0.000000,上櫃,,DCZUDR,
30371　欣興一,TW0003037107,2025/11/03,2030/11/03,0.000000,上櫃,,DCZUDR,
30401　遠見一,TW0003040101,2025/06/30,2028/06/30,0.000000,上櫃,,DCZUDR,
30454　台灣大四,TW0003045407,2025/02/24,2030/02/24,0.000000,上櫃,,DCZUDR,
30455　台灣大五,TW0003045506,2025/02/25,2030/02/25,0.000000,上櫃,,DCZUDR,
30882　艾訊二,TW0003088209,2023/08/28,2026/08/28,0.000000,上櫃,,DCZUGR,
30922　鴻碩二,TW0003092201,2023/07/04,2026/07/04,0.000000,上櫃,,DCZUDR,
30954　及成四,TW0003095402,2025/02/25,2028/02/25,0.000000,上櫃,,DCZSDR,
31222　笙泉二,TW0003122206,2024/05/03,2027/05/03,0.000000,上櫃,,DCZUDR,
31282　昇銳二,TW0003128203,2023/07/03,2026/07/03,0.000000,上櫃,,DCZUDR,
31311　弘塑一,TW0003131108,2025/07/30,2030/07/30,0.000000,上櫃,,DCZUDR,
31312　弘塑二,TW0003131207,2025/08/05,2030/08/05,0.000000,上櫃,,DCZUDR,
31351　凌航一,TW0003135109,2025/12/04,2028/12/04,0.000000,上櫃,,DCZUDR,
31352　凌航二,TW0003135208,2026/05/05,2029/05/05,0.000000,上櫃,,DCZUDR,
31382　耀登二,TW0003138202,2025/01/10,2027/04/22,0.000000,上櫃,,DCZUGR,
31413　晶宏三,TW0003141305,2024/05/20,2027/05/20,0.000000,上櫃,,DCZUDR,
31672　大量二,TW0003167201,2025/08/06,2028/08/06,0.000000,上櫃,,DCZUGR,
31882　鑫龍騰二,TW0003188207,2025/06/20,2028/06/20,0.000000,上櫃,,DCZUDR,
32071　耀勝一,TW0003207106,2024/03/25,2027/03/25,0.000000,上櫃,,DCZUDR,
32571　虹冠電一,TW0003257101,2024/11/01,2029/11/01,0.000000,上櫃,,DCZUDR,
32608　威剛八,TW0003260808,2026/01/08,2029/01/08,0.000000,上櫃,,DCZUDR,
32723　東碩三,TW0003272308,2024/03/07,2029/03/07,0.000000,上櫃,,DCZUDR,
32843　太普高三,TW0003284303,2025/09/15,2028/09/15,0.000000,上櫃,,DCZUDR,
33035　岱稜五,TW0003303509,2024/11/26,2029/11/26,0.000000,上櫃,,DCZUDR,
33055　昇貿五,TW0003305504,2023/12/25,2026/12/25,0.000000,上櫃,,DCZUDR,
33121　弘憶股一,TW0003312104,2024/06/25,2027/06/25,0.000000,上櫃,,DCZUGR,
33133　斐成三,TW0003313300,2024/11/29,2027/11/29,0.000000,上櫃,,DCZSGR,
33225　建舜電五,TW0003322509,2024/09/02,2027/09/02,0.000000,上櫃,,DCZUDR,
33233　加百裕三,TW0003323309,2023/06/02,2026/06/02,0.000000,上櫃,,DCZUGR,
33245　雙鴻五,TW0003324505,2024/07/31,2029/07/31,0.000000,上櫃,,DCZUDR,
33246　雙鴻六,TW0003324604,2026/03/02,2031/03/02,0.000000,上櫃,,DCZUDR,
33247　雙鴻七,TW0003324703,2026/03/16,2031/03/16,0.000000,上櫃,,DCZUDR,
33253　旭品三,TW0003325304,2023/05/09,2026/05/09,0.000000,上櫃,,DCZUDR,
33466　麗清六,TW0003346607,2024/11/27,2027/11/27,0.000000,上櫃,,DCZUDR,
33571　臺慶科一,TW0003357109,2023/10/31,2026/10/31,0.000000,上櫃,,DCZUGR,
33621　先進光一,TW0003362109,2024/07/16,2029/07/16,0.000000,上櫃,,DCZSDR,
33763　新日興三,TW0003376307,2024/08/23,2029/08/23,0.000000,上櫃,,DCZUDR,
33881　崇越電一,TW0003388104,2022/11/09,2027/11/09,0.000000,上櫃,,DCZUDR,
33902　旭軟二,TW0003390209,2025/02/21,2028/02/21,0.000000,上櫃,,DCZSGR,
34163　融程電三,TW0003416301,2024/01/25,2027/01/25,0.000000,上櫃,,DCZUDR,
34793　安勤三,TW0003479309,2024/01/22,2027/01/22,0.000000,上櫃,,DCZUGR,
34834　力致四,TW0003483400,2024/05/22,2027/05/22,0.000000,上櫃,,DCZUGR,
34843　崧騰三,TW0003484309,2023/04/24,2028/04/24,0.000000,上櫃,,DCZUDR,
35161　亞帝歐一,TW0003516100,2024/10/18,2027/10/18,0.000000,上櫃,,DCZSGR,
35181　柏騰一,TW0003518106,2024/08/15,2027/08/15,0.000000,上櫃,,DCZSGR,
35221　御嵿一,TW0003522108,2023/12/18,2026/12/18,0.000000,上櫃,,DCZSDR,
35265　凡甲五,TW0003526505,2022/02/14,2027/02/14,0.000000,上櫃,,DCZUDR,
35266　凡甲六,TW0003526604,2024/01/29,2029/01/29,0.000000,上櫃,,DCZUDR,
35267　凡甲七,TW0003526703,2025/07/24,2030/07/24,0.000000,上櫃,,DCZUDR,
35431　州巧一,TW0003543104,2025/12/26,2028/12/26,0.000000,上櫃,,DCZSDR,
35482　兆利二,TW0003548202,2024/01/08,2027/01/08,0.000000,上櫃,,DCZUGR,
35483　兆利三,TW0003548301,2025/02/25,2030/02/25,0.000000,上櫃,,DCZUDR,
35513　世禾三,TW0003551305,2025/10/28,2028/10/28,0.000000,上櫃,,DCZUGR,
35642　其陽二,TW0003564209,2024/09/03,2027/09/03,0.000000,上櫃,,DCZUGR,
35831　辛耘一,TW0003583100,2024/06/07,2027/06/07,0.000000,上櫃,,DCZUDR,
35832　辛耘二,TW0003583209,2024/06/19,2027/06/19,0.000000,上櫃,,DCZUDR,
35871　閎康一,TW0003587101,2023/06/20,2026/06/20,0.000000,上櫃,,DCZUGR,
35872　閎康二,TW0003587200,2026/02/04,2031/02/04,0.000000,上櫃,,DCZUDR,
35914　艾笛森四,TW0003591400,2024/11/22,2027/11/22,0.000000,上櫃,,DCZUGR,
36053　宏致三,TW0003605309,2024/08/06,2027/08/06,0.000000,上櫃,,DCZUGR,
36173　碩天三,TW0003617304,2025/06/16,2028/06/16,0.000000,上櫃,,DCZUGR,
36804　家登四,TW0003680401,2023/10/18,2026/10/18,0.000000,上櫃,,DCZUDR,
36805　家登五,TW0003680500,2026/05/08,2031/05/08,0.000000,上櫃,,DCZUDR,
36841　榮昌一,TW0003684106,2025/10/28,2028/10/28,0.000000,上櫃,,DCZUDR,
36872　歐買尬二,TW0003687208,2025/10/02,2028/10/02,0.000000,上櫃,,DCZUDR,
36873　歐買尬三,TW0003687307,2025/10/03,2028/10/03,0.000000,上櫃,,DCZUDR,
36894　湧德四,TW0003689402,2024/03/05,2027/03/05,0.000000,上櫃,,DCZUDR,
36913　碩禾三,TW0003691309,2024/08/30,2027/08/30,0.000000,上櫃,,DCZSGR,
37012　大眾控二,TW0003701207,2023/05/31,2026/05/31,0.000000,上櫃,,DCZUDR,
37022　大聯大二,TW0003702205,2024/11/11,2027/11/11,0.000000,上櫃,,DCZUGR,
37023　大聯大三,TW0003702304,2024/11/21,2027/11/21,0.000000,上櫃,,DCZUGR,
37075　漢磊五,TW0003707501,2025/08/20,2030/08/20,0.000000,上櫃,,DCZUDR,
37083　上緯投控三,TW0003708301,2021/09/27,2026/09/27,0.000000,上櫃,,DCZSDR,
37084　上緯投控四,TW0003708400,2021/09/28,2026/09/28,0.000000,上櫃,,DCZUDR,
37151　定穎投控一,TW0003715108,2026/01/21,2029/01/21,0.000000,上櫃,,DCZUGR,
37152　定穎投控二,TW0003715207,2026/03/24,2029/03/24,0.000000,上櫃,,DCZUGR,
37171　聯嘉投控一,TW0003717104,2026/01/21,2029/01/21,0.000000,上櫃,,DCZSDR,
41135　聯上五,TW0004113501,2025/10/27,2030/10/27,0.000000,上櫃,,DCZSDR,
41136　聯上六,TW0004113600,2026/03/20,2031/03/20,0.000000,上櫃,,DCZUDR,
41236　晟德六,TW0004123609,2023/04/26,2028/04/26,0.000000,上櫃,,DCZSGR,
41237　晟德七,TW0004123708,2023/04/27,2028/04/27,0.000000,上櫃,,DCZUDR,
41238　晟德八,TW0004123807,2026/05/04,2031/05/04,0.000000,上櫃,,DCZUDR,
41295　聯合五,TW0004129507,2025/05/29,2030/05/29,0.000000,上櫃,,DCZUDR,
41372　麗豐二KY,TW0004137203,2024/08/12,2027/08/12,0.000000,上櫃,,DCZUDR,
41645　承業醫五,TW0004164504,2025/06/20,2030/06/20,0.000000,上櫃,,DCZUDR,
41684　醣聯四,TW0004168406,2025/09/18,2028/09/18,0.000000,上櫃,,DCZSGR,
41903　佐登三KY,TW0004190301,2024/07/11,2027/07/11,0.000000,上櫃,,DCZUDR,
44163　三圓三,TW0004416300,2022/09/30,2027/09/30,0.000000,上櫃,,DCZSDR,
44383　廣越三,TW0004438304,2025/09/30,2028/09/30,0.000000,上櫃,,DCZUGR,
44391　冠星一KY,TW0004439104,2025/03/03,2028/03/03,0.000000,上櫃,,DCZUGR,
44421　竣邦一KY,TW0004442108,2025/07/28,2028/07/28,0.000000,上櫃,,DCZUDR,
45102　高鋒二,TW0004510201,2025/02/26,2028/02/26,0.000000,上櫃,,DCZUDR,
45421　科嶠一,TW0004542105,2024/09/06,2027/09/06,0.000000,上櫃,,DCZUDR,
45491　桓達一,TW0004549100,2024/11/07,2027/11/07,0.000000,上櫃,,DCZUGR,
45554　氣立四,TW0004555404,2025/06/09,2028/06/09,0.000000,上櫃,,DCZSGR,
45581　寶緯一,TW0004558101,2025/08/28,2028/08/28,0.000000,上櫃,,DCZSGR,
45641　元翎一,TW0004564109,2023/09/26,2026/09/26,0.000000,上櫃,,DCZUGR,
45663　時碩工業三,TW0004566302,2023/11/27,2026/11/27,0.000000,上櫃,,DCZUGR,
45691　六方科一KY,TW0004569108,2025/01/15,2028/01/15,0.000000,上櫃,,DCZUGR,
45721　駐龍一,TW0004572102,2024/07/16,2027/07/16,0.000000,上櫃,,DCZUDR,
45811　光隆精密一KY,TW0004581103,2025/08/15,2028/08/15,0.000000,上櫃,,DCZUDR,
47148　永捷八,TW0004714803,2026/05/04,2029/05/04,0.000000,上櫃,,DCZSDR,
47223　國精化三,TW0004722301,2025/10/01,2028/10/01,0.000000,上櫃,,DCZUGR,
47393　康普三,TW0004739305,2021/10/28,2026/10/28,0.000000,上櫃,,DCZSDR,
47394　康普四,TW0004739404,2025/12/17,2030/12/17,0.000000,上櫃,,DCZSDR,
47471　強生一,TW0004747100,2023/06/12,2026/06/12,0.000000,上櫃,,DCZUGR,
47721　台特化一,TW0004772108,2025/11/27,2028/11/27,0.000000,上櫃,,DCZUGR,
49066　正文六,TW0004906607,2023/06/02,2026/06/02,0.000000,上櫃,,DCZUDR,
49165　事欣科五,TW0004916507,2025/05/14,2030/05/14,0.000000,上櫃,,DCZUDR,
49231　力士一,TW0004923107,2026/01/29,2029/01/29,0.000000,上櫃,,DCZUDR,
49674　十銓四,TW0004967401,2026/01/15,2029/01/15,0.000000,上櫃,,DCZSGR,
49793　華星光三,TW0004979307,2024/12/09,2027/12/09,0.000000,上櫃,,DCZUDR,
49794　華星光四,TW0004979406,2024/12/25,2027/12/25,0.000000,上櫃,,DCZUDR,
50097　榮剛七,TW0005009708,2023/07/31,2026/07/31,0.000000,上櫃,,DCZUGR,
52011　凱衛一,TW0005201107,2025/10/15,2028/10/15,0.000000,上櫃,,DCZSGR,
52091　新鼎一,TW0005209100,2023/10/06,2026/10/06,0.000000,上櫃,,DCZUGR,
52121　凌網一,TW0005212104,2024/10/15,2029/10/15,0.000000,上櫃,,DCZUDR,
52303　雷笛克光學三,TW0005230304,2023/07/24,2026/07/24,0.000000,上櫃,,DCZSGR,
52441　弘凱一,TW0005244107,2024/09/25,2029/09/25,0.000000,上櫃,,DCZUDR,
52452　智晶二,TW0005245203,2024/12/18,2027/12/18,0.000000,上櫃,,DCZUDR,
52635　智崴五,TW0005263503,2024/03/04,2027/03/04,0.000000,上櫃,,DCZSDR,
52844　jpp四KY,TW0005284400,2026/05/05,2029/05/05,0.000000,上櫃,,DCZUGR,
52845　jpp五KY,TW0005284509,2026/05/11,2029/05/11,0.000000,上櫃,,DCZUGR,
53064　桂盟四,TW0005306401,2023/11/08,2026/11/08,0.000000,上櫃,,DCZSGR,
53095　系統電五,TW0005309504,2023/08/08,2026/08/08,0.000000,上櫃,,DCZUDR,
53096　系統電六,TW0005309603,2025/12/12,2030/12/12,0.000000,上櫃,,DCZUDR,
53097　系統電七,TW0005309702,2025/12/15,2028/12/15,0.000000,上櫃,,DCZUDR,
53211　美而快一,TW0005321103,2024/03/04,2027/03/04,0.000000,上櫃,,DCZUDR,
53887　中磊七,TW0005388706,2023/12/06,2028/12/06,0.000000,上櫃,,DCZUDR,
54342　崇越二,TW0005434203,2023/06/29,2026/06/29,0.000000,上櫃,,DCZUGR,
54391　高技一,TW0005439103,2025/09/09,2030/09/09,0.000000,上櫃,,DCZUDR,
54501　南良一,TW0005450100,2023/03/21,2028/03/21,0.000000,上櫃,,DCZSDR,
54573　宣德三,TW0005457303,2024/03/06,2027/03/06,0.000000,上櫃,,DCZUGR,
55344　長虹四,TW0005534408,2026/03/11,2031/03/11,0.000000,上櫃,,DCZUDR,
56086　四維航六,TW0005608608,2023/06/21,2026/06/21,0.000000,上櫃,,DCZSGR,
56087　四維航七,TW0005608707,2024/12/17,2027/12/17,0.000000,上櫃,,DCZSGR,
59055　南仁湖四,TW0005905509,2021/05/18,2026/05/18,0.000000,上櫃,,DCZSDR,
60151　宏遠證一,TW0006015100,2021/06/11,2026/06/11,0.000000,上櫃,,DCZUDR,
60152　宏遠證二,TW0006015209,2024/01/05,2029/01/05,0.000000,上櫃,,DCZUDR,
61011　寬魚國際一,TW0006101108,2026/01/29,2029/01/29,0.000000,上櫃,,DCZSDR,
61012　寬魚國際二,TW0006101207,2026/01/30,2029/01/30,0.000000,上櫃,,DCZUDR,
61041　創惟一,TW0006104102,2022/08/26,2027/08/26,0.000000,上櫃,,DCZUDR,
61112　光聚晶電二,TW0006111206,2024/09/10,2027/09/10,0.000000,上櫃,,DCZUDR,
61171　迎廣一,TW0006117104,2024/05/27,2027/05/27,0.000000,上櫃,,DCZUDR,
61172　迎廣二,TW0006117203,2025/05/28,2028/05/28,0.000000,上櫃,,DCZUDR,
61255　廣運五,TW0006125503,2024/06/21,2027/06/21,0.000000,上櫃,,DCZUDR,
61263　信音三,TW0006126303,2023/11/30,2026/11/30,0.000000,上櫃,,DCZUDR,
61506　撼訊六,TW0006150600,2024/03/07,2027/03/07,0.000000,上櫃,,DCZUGR,
61565　松上五,TW0006156508,2025/06/25,2028/06/25,0.000000,上櫃,,DCZUDR,
61635　華電網五,TW0006163504,2025/10/16,2028/10/16,0.000000,上櫃,,DCZUDR,
61777　達麗七,TW0006177702,2025/06/25,2028/06/25,0.000000,上櫃,,DCZUDR,
61793　亞通三,TW0006179302,2023/07/25,2026/07/25,0.000000,上櫃,,DCZUDR,
61794　亞通四,TW0006179401,2024/08/28,2027/08/28,0.000000,上櫃,,DCZUDR,
61827　合晶七,TW0006182702,2021/07/27,2026/07/27,0.000000,上櫃,,DCZUGR,
61828　合晶八,TW0006182801,2024/09/27,2029/09/27,0.000000,上櫃,,DCZUDR,
61843　大豐電三,TW0006184302,2024/03/06,2027/03/06,0.000000,上櫃,,DCZUGR,
61875　萬潤五,TW0006187503,2024/07/10,2026/05/20,0.000000,上櫃,,DCZUGR,
61894　豐藝四,TW0006189400,2023/11/10,2028/11/10,0.000000,上櫃,,DCZUDR,
61907　萬泰科七,TW0006190705,2025/11/06,2028/11/06,0.000000,上櫃,,DCZUGR,
61973　佳必琪三,TW0006197304,2024/10/15,2027/10/15,0.000000,上櫃,,DCZUGR,
61993　天品三,TW0006199300,2026/01/20,2029/01/20,0.000000,上櫃,,DCZSDR,
61994　天品四,TW0006199409,2026/01/21,2029/01/21,0.000000,上櫃,,DCZUDR,
62075　雷科五,TW0006207509,2025/08/26,2028/08/26,0.000000,上櫃,,DCZUDR,
62076　雷科六,TW0006207608,2025/09/05,2028/09/05,0.000000,上櫃,,DCZUDR,
62093　今國光三,TW0006209307,2025/10/23,2028/10/23,0.000000,上櫃,,DCZSGR,
62194　富旺四,TW0006219405,2025/10/16,2028/10/16,0.000000,上櫃,,DCZSGR,
62433　迅杰三,TW0006243306,2024/06/25,2027/06/25,0.000000,上櫃,,DCZUGR,
62695　台郡五,TW0006269509,2024/08/02,2027/08/02,0.000000,上櫃,,DCZUGR,
62696　台郡六,TW0006269608,2024/08/02,2027/08/02,0.000000,上櫃,,DCZUGR,
62745　台燿五,TW0006274509,2025/11/13,2026/06/29,0.000000,上櫃,,DCZUDR,
62756　元山六,TW0006275605,2021/09/30,2026/09/30,0.000000,上櫃,,DCZSDR,
62822　康舒二,TW0006282205,2023/06/13,2028/06/13,0.000000,上櫃,,DCZUDR,
62843　佳邦三,TW0006284300,2023/12/14,2026/12/14,0.000000,上櫃,,DCZUDR,
629010　良維十,TW0006290109,2025/05/13,2028/05/13,0.000000,上櫃,,DCZUDR,
64145　樺漢五,TW0006414501,2023/08/16,2026/08/16,0.000000,上櫃,,DCZUGR,
64251　易發一,TW0006425101,2024/10/15,2027/10/15,0.000000,上櫃,,DCZSGR,
64324　今展科四,TW0006432404,2024/08/16,2027/08/16,0.000000,上櫃,,DCZUDR,
64422　光聖二,TW0006442205,2025/12/01,2026/06/12,0.000000,上櫃,,DCZUDR,
64423　光聖三,TW0006442304,2025/12/11,2026/06/24,0.000000,上櫃,,DCZUDR,
64512　訊芯二KY,TW0006451206,2025/02/27,2028/02/27,0.000000,上櫃,,DCZUGR,
64693　大樹三,TW0006469307,2025/07/28,2028/07/28,0.000000,上櫃,,DCZUGR,
64724　保瑞四,TW0006472400,2026/04/01,2031/04/01,0.000000,上櫃,,DCZUDR,
64725　保瑞五,TW0006472509,2026/04/15,2031/04/15,0.000000,上櫃,,DCZUDR,
64773　安集三,TW0006477300,2021/08/04,2026/08/04,0.000000,上櫃,,DCZUDR,
64774　安集四,TW0006477409,2022/07/21,2027/07/21,0.000000,上櫃,,DCZUDR,
64775　安集五,TW0006477508,2025/10/09,2028/10/09,0.000000,上櫃,,DCZUDR,
65096　聚和六,TW0006509607,2024/07/03,2027/07/03,0.000000,上櫃,,DCZUDR,
65101　精測一,TW0006510100,2026/01/05,2029/01/05,0.000000,上櫃,,DCZUFR,
65152　穎崴二,TW0006515208,2026/02/05,2029/02/05,0.000000,上櫃,,DCZUGR,
65331　晶心科一,TW0006533102,2025/09/08,2028/09/08,0.000000,上櫃,,DCZUGR,
65381　倉和一,TW0006538101,2025/06/26,2030/06/26,0.000000,上櫃,,DCZUDR,
65461　正基一,TW0006546104,2024/06/05,2027/06/05,0.000000,上櫃,,DCZUDR,
65472　高端疫苗二,TW0006547201,2026/03/19,2029/03/19,0.000000,上櫃,,DCZSGR,
65521　易華電一,TW0006552102,2021/10/25,2026/10/25,0.000000,上櫃,,DCZSDR,
65761　逸達一,TW0006576101,2026/03/25,2029/03/25,0.000000,上櫃,,DCZSDR,
65841　南俊國際一,TW0006584105,2024/10/29,2027/10/29,0.000000,上櫃,,DCZSDR,
65842　南俊國際二,TW0006584204,2024/10/30,2027/10/30,0.000000,上櫃,,DCZUDR,
65851　鼎基一,TW0006585102,2023/10/26,2026/10/26,0.000000,上櫃,,DCZSGR,
65852　鼎基二,TW0006585201,2023/10/27,2026/10/27,0.000000,上櫃,,DCZUGR,
65914　動力四KY,TW0006591407,2025/08/27,2028/08/27,0.000000,上櫃,,DCZUDR,
66034　富強鑫四,TW0006603400,2026/05/04,2029/05/04,0.000000,上櫃,,DCZUDR,
66163　特昇三KY,TW0006616303,2023/09/20,2028/09/20,0.000000,上櫃,,DCZUDR,
66241　萬年清一,TW0006624109,2024/07/05,2029/07/05,0.000000,上櫃,,DCZSDR,
66292　泰金二KY,TW0006629207,2024/09/13,2027/09/13,0.000000,上櫃,,DCZUDR,
66411　基士德一KY,TW0006641103,2021/05/17,2026/05/17,0.000000,上櫃,,DCZUDR,
66451　金萬林一創,TW0006645104,2024/12/04,2027/12/04,0.000000,上櫃,,DCZSDR,
66642　群翊二,TW0006664204,2024/11/19,2027/11/19,0.000000,上櫃,,DCZUGR,
66702　復盛應用二,TW0006670201,2025/12/26,2028/12/26,0.000000,上櫃,,DCZUGR,
