有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
GTFL6　櫃買期貨2026/12,TW000GTFL602,2025/12/18,期貨及選擇權,,FFICSX,
非金電期貨
XIFC7　非金電期貨2027/03,TW000XIFC708,2026/03/19,期貨及選擇權,,FFICSX,
XIFE6　非金電期貨2026/05,TW000XIFE605,2026/02/24,期貨及選擇權,,FFICSX,
XIFF6　非金電期貨2026/06,TW000XIFF602,2025/06/19,期貨及選擇權,,FFICSX,
XIFG6　非金電期貨2026/07,TW000XIFG600,2026/04/16,期貨及選擇權,,FFICSX,
XIFI6　非金電期貨2026/09,TW000XIFI606,2025/09/18,期貨及選擇權,,FFICSX,
XIFL6　非金電期貨2026/12,TW000XIFL600,2025/12/18,期貨及選擇權,,FFICSX,
臺幣黃金期貨
TGFB7　臺幣黃金期貨2027/02,TW000TGFB702,2026/02/25,期貨及選擇權,,FCECSX,
TGFD7　臺幣黃金期貨2027/04,TW000TGFD708,2026/04/29,期貨及選擇權,,FCECSX,
TGFF6　臺幣黃金期貨2026/06,TW000TGFF604,2025/06/27,期貨及選擇權,,FCECSX,
TGFH6　臺幣黃金期貨2026/08,TW000TGFH600,2025/08/28,期貨及選擇權,,FCECSX,
TGFJ6　臺幣黃金期貨2026/10,TW000TGFJ606,2025/10/30,期貨及選擇權,,FCECSX,
TGFL6　臺幣黃金期貨2026/12,TW000TGFL602,2025/12/30,期貨及選擇權,,FCECSX,
股票期貨
CAFC7　南亞股票期貨2027/03,TW000CAFC709,2026/04/16,期貨及選擇權,,FFSCSX,
CAFE6　南亞股票期貨2026/05,TW000CAFE606,2026/03/19,期貨及選擇權,,FFSCSX,
CAFF6　南亞股票期貨2026/06,TW000CAFF603,2025/07/17,期貨及選擇權,,FFSCSX,
CAFI6　南亞股票期貨2026/09,TW000CAFI607,2025/10/16,期貨及選擇權,,FFSCSX,
CAFL6　南亞股票期貨2026/12,TW000CAFL601,2026/01/22,期貨及選擇權,,FFSCSX,
CBFC7　中鋼股票期貨2027/03,TW000CBFC707,2026/04/16,期貨及選擇權,,FFSCSX,
CBFE6　中鋼股票期貨2026/05,TW000CBFE604,2026/03/19,期貨及選擇權,,FFSCSX,
CBFF6　中鋼股票期貨2026/06,TW000CBFF601,2025/07/17,期貨及選擇權,,FFSCSX,
CBFI6　中鋼股票期貨2026/09,TW000CBFI605,2025/10/16,期貨及選擇權,,FFSCSX,
CBFL6　中鋼股票期貨2026/12,TW000CBFL609,2026/01/22,期貨及選擇權,,FFSCSX,
CCFC7　聯電股票期貨2027/03,TW000CCFC705,2026/04/16,期貨及選擇權,,FFSCSX,
CCFE6　聯電股票期貨2026/05,TW000CCFE602,2026/03/19,期貨及選擇權,,FFSCSX,
CCFF6　聯電股票期貨2026/06,TW000CCFF609,2025/07/17,期貨及選擇權,,FFSCSX,
CCFI6　聯電股票期貨2026/09,TW000CCFI603,2025/10/16,期貨及選擇權,,FFSCSX,
CCFL6　聯電股票期貨2026/12,TW000CCFL607,2026/01/22,期貨及選擇權,,FFSCSX,
CDFC7　台積電股票期貨2027/03,TW000CDFC703,2026/04/16,期貨及選擇權,,FFSCSX,
CDFE6　台積電股票期貨2026/05,TW000CDFE600,2026/03/19,期貨及選擇權,,FFSCSX,
CDFF6　臺積電股票期貨2026/06,TW000CDFF607,2025/07/17,期貨及選擇權,,FFSCSX,
CDFI6　臺積電股票期貨2026/09,TW000CDFI601,2025/10/16,期貨及選擇權,,FFSCSX,
CDFL6　台積電股票期貨2026/12,TW000CDFL605,2026/01/22,期貨及選擇權,,FFSCSX,
CEFC7　富邦金股票期貨2027/03,TW000CEFC701,2026/04/16,期貨及選擇權,,FFSCSX,
CEFE6　富邦金股票期貨2026/05,TW000CEFE608,2026/03/19,期貨及選擇權,,FFSCSX,
CEFF6　富邦金股票期貨2026/06,TW000CEFF605,2025/07/17,期貨及選擇權,,FFSCSX,
CEFI6　富邦金股票期貨2026/09,TW000CEFI609,2025/10/16,期貨及選擇權,,FFSCSX,
CEFL6　富邦金股票期貨2026/12,TW000CEFL603,2026/01/22,期貨及選擇權,,FFSCSX,
CFFC7　台塑股票期貨2027/03,TW000CFFC708,2026/04/16,期貨及選擇權,,FFSCSX,
CFFE6　台塑股票期貨2026/05,TW000CFFE605,2026/03/19,期貨及選擇權,,FFSCSX,
CFFF6　台塑股票期貨2026/06,TW000CFFF602,2025/07/17,期貨及選擇權,,FFSCSX,
CFFI6　台塑股票期貨2026/09,TW000CFFI606,2025/10/16,期貨及選擇權,,FFSCSX,
CFFL6　台塑股票期貨2026/12,TW000CFFL600,2026/01/22,期貨及選擇權,,FFSCSX,
CGFC7　仁寶股票期貨2027/03,TW000CGFC706,2026/04/16,期貨及選擇權,,FFSCSX,
CGFE6　仁寶股票期貨2026/05,TW000CGFE603,2026/03/19,期貨及選擇權,,FFSCSX,
CGFF6　仁寶股票期貨2026/06,TW000CGFF600,2025/07/17,期貨及選擇權,,FFSCSX,
CGFI6　仁寶股票期貨2026/09,TW000CGFI604,2025/10/16,期貨及選擇權,,FFSCSX,
CGFL6　仁寶股票期貨2026/12,TW000CGFL608,2026/01/22,期貨及選擇權,,FFSCSX,
CHFC7　友達股票期貨2027/03,TW000CHFC704,2026/04/16,期貨及選擇權,,FFSCSX,
CHFE6　友達股票期貨2026/05,TW000CHFE601,2026/03/19,期貨及選擇權,,FFSCSX,
CHFF6　友達股票期貨2026/06,TW000CHFF608,2025/07/17,期貨及選擇權,,FFSCSX,
CHFI6　友達股票期貨2026/09,TW000CHFI602,2025/10/16,期貨及選擇權,,FFSCSX,
CHFL6　友達股票期貨2026/12,TW000CHFL606,2026/01/22,期貨及選擇權,,FFSCSX,
CJFC7　華南金股票期貨2027/03,TW000CJFC700,2026/04/16,期貨及選擇權,,FFSCSX,
CJFE6　華南金股票期貨2026/05,TW000CJFE607,2026/03/19,期貨及選擇權,,FFSCSX,
CJFF6　華南金股票期貨2026/06,TW000CJFF604,2025/07/17,期貨及選擇權,,FFSCSX,
CJFI6　華南金股票期貨2026/09,TW000CJFI608,2025/10/16,期貨及選擇權,,FFSCSX,
CJFL6　華南金股票期貨2026/12,TW000CJFL602,2026/01/22,期貨及選擇權,,FFSCSX,
CKFC7　國泰金股票期貨2027/03,TW000CKFC708,2026/04/16,期貨及選擇權,,FFSCSX,
CKFE6　國泰金股票期貨2026/05,TW000CKFE605,2026/03/19,期貨及選擇權,,FFSCSX,
CKFF6　國泰金股票期貨2026/06,TW000CKFF602,2025/07/17,期貨及選擇權,,FFSCSX,
CKFI6　國泰金股票期貨2026/09,TW000CKFI606,2025/10/16,期貨及選擇權,,FFSCSX,
CKFL6　國泰金股票期貨2026/12,TW000CKFL600,2026/01/22,期貨及選擇權,,FFSCSX,
CLFC7　兆豐金股票期貨2027/03,TW000CLFC706,2026/04/16,期貨及選擇權,,FFSCSX,
CLFE6　兆豐金股票期貨2026/05,TW000CLFE603,2026/03/19,期貨及選擇權,,FFSCSX,
CLFF6　兆豐金股票期貨2026/06,TW000CLFF600,2025/07/17,期貨及選擇權,,FFSCSX,
CLFI6　兆豐金股票期貨2026/09,TW000CLFI604,2025/10/16,期貨及選擇權,,FFSCSX,
CLFL6　兆豐金股票期貨2026/12,TW000CLFL608,2026/01/22,期貨及選擇權,,FFSCSX,
CMFC7　台新新光金股票期貨2027/03,TW000CMFC704,2026/04/16,期貨及選擇權,,FFSCSX,
CMFE6　台新新光金股票期貨2026/05,TW000CMFE601,2026/03/19,期貨及選擇權,,FFSCSX,
CMFF6　台新金股票期貨2026/06,TW000CMFF608,2025/07/17,期貨及選擇權,,FFSCSX,
CMFI6　台新金股票期貨2026/09,TW000CMFI602,2025/10/16,期貨及選擇權,,FFSCSX,
CMFL6　台新新光金股票期貨2026/12,TW000CMFL606,2026/01/22,期貨及選擇權,,FFSCSX,
CNFC7　中信金股票期貨2027/03,TW000CNFC702,2026/04/16,期貨及選擇權,,FFSCSX,
CNFE6　中信金股票期貨2026/05,TW000CNFE609,2026/03/19,期貨及選擇權,,FFSCSX,
CNFF6　中信金股票期貨2026/06,TW000CNFF606,2025/07/17,期貨及選擇權,,FFSCSX,
CNFI6　中信金股票期貨2026/09,TW000CNFI600,2025/10/16,期貨及選擇權,,FFSCSX,
CNFL6　中信金股票期貨2026/12,TW000CNFL604,2026/01/22,期貨及選擇權,,FFSCSX,
CQFC7　統一股票期貨2027/03,TW000CQFC705,2026/04/16,期貨及選擇權,,FFSCSX,
CQFE6　統一股票期貨2026/05,TW000CQFE602,2026/03/19,期貨及選擇權,,FFSCSX,
CQFF6　統一股票期貨2026/06,TW000CQFF609,2025/07/17,期貨及選擇權,,FFSCSX,
CQFI6　統一股票期貨2026/09,TW000CQFI603,2025/10/16,期貨及選擇權,,FFSCSX,
CQFL6　統一股票期貨2026/12,TW000CQFL607,2026/01/22,期貨及選擇權,,FFSCSX,
CRFC7　遠東新股票期貨2027/03,TW000CRFC703,2026/04/16,期貨及選擇權,,FFSCSX,
CRFE6　遠東新股票期貨2026/05,TW000CRFE600,2026/03/19,期貨及選擇權,,FFSCSX,
CRFF6　遠東新股票期貨2026/06,TW000CRFF607,2025/07/17,期貨及選擇權,,FFSCSX,
CRFI6　遠東新股票期貨2026/09,TW000CRFI601,2025/10/16,期貨及選擇權,,FFSCSX,
CRFL6　遠東新股票期貨2026/12,TW000CRFL605,2026/01/22,期貨及選擇權,,FFSCSX,
CSFC7　華新股票期貨2027/03,TW000CSFC701,2026/04/16,期貨及選擇權,,FFSCSX,
CSFE6　華新股票期貨2026/05,TW000CSFE608,2026/03/19,期貨及選擇權,,FFSCSX,
CSFF6　華新股票期貨2026/06,TW000CSFF605,2025/07/17,期貨及選擇權,,FFSCSX,
CSFI6　華新股票期貨2026/09,TW000CSFI609,2025/10/16,期貨及選擇權,,FFSCSX,
CSFL6　華新股票期貨2026/12,TW000CSFL603,2026/01/22,期貨及選擇權,,FFSCSX,
CUFC7　中環股票期貨2027/03,TW000CUFC707,2026/04/16,期貨及選擇權,,FFSCSX,
CUFE6　中環股票期貨2026/05,TW000CUFE604,2026/03/19,期貨及選擇權,,FFSCSX,
CUFF6　中環股票期貨2026/06,TW000CUFF601,2025/07/17,期貨及選擇權,,FFSCSX,
CUFI6　中環股票期貨2026/09,TW000CUFI605,2025/10/16,期貨及選擇權,,FFSCSX,
CUFL6　中環股票期貨2026/12,TW000CUFL609,2026/01/22,期貨及選擇權,,FFSCSX,
CWFC7　佳世達股票期貨2027/03,TW000CWFC703,2026/04/16,期貨及選擇權,,FFSCSX,
CWFE6　佳世達股票期貨2026/05,TW000CWFE600,2026/03/19,期貨及選擇權,,FFSCSX,
CWFF6　佳世達股票期貨2026/06,TW000CWFF607,2025/07/17,期貨及選擇權,,FFSCSX,
CWFI6　佳世達股票期貨2026/09,TW000CWFI601,2025/10/16,期貨及選擇權,,FFSCSX,
CWFL6　佳世達股票期貨2026/12,TW000CWFL605,2026/01/22,期貨及選擇權,,FFSCSX,
CXFC7　大同股票期貨2027/03,TW000CXFC701,2026/04/16,期貨及選擇權,,FFSCSX,
CXFE6　大同股票期貨2026/05,TW000CXFE608,2026/03/19,期貨及選擇權,,FFSCSX,
CXFF6　大同股票期貨2026/06,TW000CXFF605,2025/07/17,期貨及選擇權,,FFSCSX,
CXFI6　大同股票期貨2026/09,TW000CXFI609,2025/10/16,期貨及選擇權,,FFSCSX,
CXFL6　大同股票期貨2026/12,TW000CXFL603,2026/01/22,期貨及選擇權,,FFSCSX,
CYFC7　南亞科股票期貨2027/03,TW000CYFC709,2026/04/16,期貨及選擇權,,FFSCSX,
CYFE6　南亞科股票期貨2026/05,TW000CYFE606,2026/03/19,期貨及選擇權,,FFSCSX,
CYFF6　南亞科股票期貨2026/06,TW000CYFF603,2025/07/17,期貨及選擇權,,FFSCSX,
CYFI6　南亞科股票期貨2026/09,TW000CYFI607,2025/10/16,期貨及選擇權,,FFSCSX,
CYFL6　南亞科股票期貨2026/12,TW000CYFL601,2026/01/22,期貨及選擇權,,FFSCSX,
CZFC7　長榮股票期貨2027/03,TW000CZFC706,2026/04/16,期貨及選擇權,,FFSCSX,
CZFE6　長榮股票期貨2026/05,TW000CZFE603,2026/03/19,期貨及選擇權,,FFSCSX,
CZFF6　長榮股票期貨2026/06,TW000CZFF600,2025/07/17,期貨及選擇權,,FFSCSX,
CZFI6　長榮股票期貨2026/09,TW000CZFI604,2025/10/16,期貨及選擇權,,FFSCSX,
CZFL6　長榮股票期貨2026/12,TW000CZFL608,2026/01/22,期貨及選擇權,,FFSCSX,
DAFC7　陽明股票期貨2027/03,TW000DAFC707,2026/04/16,期貨及選擇權,,FFSCSX,
DAFE6　陽明股票期貨2026/05,TW000DAFE604,2026/03/19,期貨及選擇權,,FFSCSX,
DAFF6　陽明股票期貨2026/06,TW000DAFF601,2025/07/17,期貨及選擇權,,FFSCSX,
DAFI6　陽明股票期貨2026/09,TW000DAFI605,2025/10/16,期貨及選擇權,,FFSCSX,
DAFL6　陽明股票期貨2026/12,TW000DAFL609,2026/01/22,期貨及選擇權,,FFSCSX,
DBFC7　華航股票期貨2027/03,TW000DBFC705,2026/04/16,期貨及選擇權,,FFSCSX,
