有價證券代號及名稱,國際證券辨識號碼(ISIN Code),登錄日,市場別,CFICode,備註
普通股
7644　台灣居護,TW0007644B14,2023/11/16,創櫃板,ESVUFR,
7645　聯和趨動,TW0007645B13,2023/09/18,創櫃板,ESVUFR,
7646　龍蓁淳,TW0007646B12,2023/08/03,創櫃板,ESVUFR,
7647　慧穎,TW0007647B11,2023/09/01,創櫃板,ESVUFR,
7648　百陽生技,TW0007648B10,2023/09/26,創櫃板,ESVUFR,
7649　正崴生技,TW0007649B19,2023/10/04,創櫃板,ESVUFR,
7650　寶奇生技,TW0007650B15,2023/10/25,創櫃板,ESVUFR,
7651　雷應科技,TW0007651B14,2023/12/06,創櫃板,ESVUFR,
7652　大中圖書,TW0007652B13,2023/11/29,創櫃板,ESVUFR,
7653　動聯,TW0007653B12,2023/12/06,創櫃板,ESVUFR,
7654　吉緻生活,TW0007654B11,2024/04/12,創櫃板,ESVUFR,
7655　依得科,TW0007655B10,2024/05/24,創櫃板,ESVUFR,
7656　全瑩生技,TW0007656B19,2024/07/16,創櫃板,ESVUFR,
7657　亞瑞仕,TW0007657B18,2024/09/09,創櫃板,ESVUFR,
7658　乙丁,TW0007658B17,2024/11/29,創櫃板,ESVUFR,
7661　皓德盛科技,TW0007661B12,2024/12/16,創櫃板,ESVUFR,
7663　數位玩家,TW0007663B10,2025/02/05,創櫃板,ESVUFR,
7664　盛雲藥品,TW0007664B19,2024/11/19,創櫃板,ESVUFR,
7665　小鹿文娛,TW0007665B18,2025/06/10,創櫃板,ESVUFR,
7666　晨間廚房,TW0007666B17,2025/02/18,創櫃板,ESVUFR,
7667　露奇亞,TW0007667B16,2025/02/18,創櫃板,ESVUFR,
7668　金玻,TW0007668B15,2025/03/26,創櫃板,ESVUFR,
7670　淞康,TW0007670B11,2025/06/18,創櫃板,ESVUFR,
7671　寶泓生醫,TW0007671B10,2025/03/27,創櫃板,ESVUFR,
7672　台灣穩鴻,TW0007672B19,2025/03/31,創櫃板,ESVUFR,
7673　方鼎資訊,TW0007673B18,2025/05/07,創櫃板,ESVUFR,
7674　數位獵人,TW0007674B17,2025/05/28,創櫃板,ESVUFR,
7675　卡德爾,TW0007675B16,2025/05/16,創櫃板,ESVUFR,
7677　埃爾思,TW0007677B14,2025/06/06,創櫃板,ESVUFR,
7678　矽谷能源,TW0007678B13,2025/08/15,創櫃板,ESVUFR,
7679　擺渡,TW0007679B12,2025/06/26,創櫃板,ESVUFR,
7680　美家人力,TW0007680B19,2025/07/28,創櫃板,ESVUFR,
7681　深禾醫,TW0007681B18,2025/07/02,創櫃板,ESVUFR,
7682　永進木器,TW0007682B17,2025/06/30,創櫃板,ESVUFR,
7683　瑪旺生醫,TW0007683B16,2025/07/15,創櫃板,ESVUFR,
7684　對稱資訊,TW0007684B15,2025/07/15,創櫃板,ESVUFR,
7685　偉孚,TW0007685B14,2025/08/15,創櫃板,ESVUFR,
7686　捷立康,TW0007686B13,2025/07/29,創櫃板,ESVUFR,
7687　佐見啦,TW0007687B12,2025/07/24,創櫃板,ESVUFR,
7688　創客共好,TW0007688B11,2025/08/15,創櫃板,ESVUFR,
7690　崙禾社企,TW0007690B17,2025/10/03,創櫃板,ESVUFR,
7691　亞歆海洋,TW0007691B16,2025/10/03,創櫃板,ESVUFR,
7692　台智能,TW0007692B15,2025/08/27,創櫃板,ESVUFR,
7693　全球系統,TW0007693B14,2025/10/22,創櫃板,ESVUFR,
7694　寶澤,TW0007694B13,2025/10/13,創櫃板,ESVUFR,
7695　宏潤生技,TW0007695B12,2025/12/29,創櫃板,ESVUFR,
7696　遠醫科,TW0007696B11,2025/11/11,創櫃板,ESVUFR,
7697　微笑元素創意,TW0007697B10,2025/12/26,創櫃板,ESVUFR,
7698　天龍材料,TW0007698B19,2025/12/31,創櫃板,ESVUFR,
7699　瑞利光,TW0007699B18,2025/12/31,創櫃板,ESVUFR,
